"YEAR","STATEFIP","st_percent_female_employed","st_percent_male_employed","st_sex_ratio_in_percent_employed","st_percent_female_in_labor_force","st_percent_male_in_labor_force","st_sex_ratio_in_percent_in_labor_force","st_percent_female_above_poverty_line","st_percent_male_above_poverty_line","st_sex_ratio_in_percent_above_poverty_line","st_percent_female_yes_high_school_diploma","st_percent_male_yes_high_school_diploma","st_sex_ratio_in_percent_yes_high_school_diploma","st_percent_female_yes_bachelors","st_percent_male_yes_bachelors","st_sex_ratio_in_percent_yes_bachelors","st_percent_white_childapl","st_percent_nonwhite_childapl","st_race_ratio_in_percent_childapl","st_percent_white_yes_high_school_diploma","st_percent_nonwhite_yes_high_school_diploma","st_race_ratio_in_percent_yes_high_school_diploma","st_median_white_household_income","st_median_nonwhite_household_income","st_race_ratio_in_household_income","st_percent_white_home","st_percent_nonwhite_home","st_race_ratio_home","st_percent_white_in_labor_force","st_percent_nonwhite_in_labor_force","st_race_ratio_in_percent_in_labor_force","st_percent_white_above_poverty_line","st_percent_nonwhite_above_poverty_line","st_race_ratio_in_percent_above_poverty_line","st_percent_male_occw","st_percent_female_occw","st_sex_ratio_in_percent_occw","st_percent_male_occp","st_percent_female_occp","st_sex_ratio_in_percent_occp","st_percent_male_occb","st_percent_female_occb","st_sex_ratio_in_percent_occb","st_percent_nonwhite_vote","st_percent_white_vote","st_race_ratio_in_percent_vote","st_percent_female_yes_literate","st_percent_male_yes_literate","st_sex_ratio_in_percent_yes_literate","st_percent_nonwhite_yes_literate","st_percent_white_yes_literate","st_race_ratio_in_percent_yes_literate","state_name","st_white_e0","st_nonwhite_e0","st_race_ratio_in_e0","st_white_e1","st_nonwhite_e1","st_race_ratio_in_e1","st_whitemale_e0","st_nonwhitemale_e0","st_race_ratio_within_males_in_e0","st_whitemale_e1","st_nonwhitemale_e1","st_race_ratio_within_males_in_e1","st_whitefemale_e0","st_nonwhitefemale_e0","st_race_ratio_within_females_in_e0","st_whitefemale_e1","st_nonwhitefemale_e1","st_race_ratio_within_females_in_e1","st_percent_white_occp","st_percent_nonwhite_occp","st_race_ratio_in_percent_occp","st_percent_white_occb","st_percent_nonwhite_occb","st_race_ratio_in_percent_occb","st_percent_white_occw","st_percent_nonwhite_occw","st_race_ratio_in_percent_occw","st_percent_white_employed","st_percent_nonwhite_employed","st_race_ratio_in_percent_employed"
1962,1,0.938,0.935,0.997,0.348,0.759,2.184,NA,NA,NA,0.404,0.372,0.92,0.059,0.096,1.643,NA,NA,NA,0.209,0.098,2.14,NA,NA,NA,NA,NA,NA,0.539,0.536,1.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.948994040489197,0.895524263381958,1.05970776081085
1962,4,0.986,0.919,0.932,0.316,0.819,2.594,NA,NA,NA,0.551,0.467,0.847,0.057,0.085,1.495,NA,NA,NA,0.24,0.055,4.385,NA,NA,NA,NA,NA,NA,0.557,0.483,1.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arizona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944950461387634,0.825951337814331,1.14407527446747
1962,5,0.96,0.927,0.965,0.261,0.678,2.595,NA,NA,NA,0.372,0.326,0.875,0.032,0.039,1.196,NA,NA,NA,0.146,0.027,5.311,NA,NA,NA,NA,NA,NA,0.465,0.389,1.196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Arkansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938097536563873,0.929487109184265,1.0092636346817
1962,6,0.923,0.936,1.013,0.376,0.795,2.113,NA,NA,NA,0.56,0.555,0.991,0.081,0.126,1.567,NA,NA,NA,0.277,0.185,1.5,NA,NA,NA,NA,NA,NA,0.571,0.65,0.878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"California",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.93881756067276,0.862155258655548,1.08891940116882
1962,8,0.969,0.952,0.982,0.381,0.767,2.015,NA,NA,NA,0.694,0.586,0.844,0.18,0.193,1.071,NA,NA,NA,0.364,0.103,3.552,NA,NA,NA,NA,NA,NA,0.566,0.581,0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Colorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.960095643997192,0.975247323513031,0.98446375131607
1962,9,0.927,0.954,1.029,0.433,0.785,1.813,NA,NA,NA,0.457,0.443,0.97,0.057,0.11,1.943,NA,NA,NA,0.189,0.022,8.461,NA,NA,NA,NA,NA,NA,0.604,0.603,1.002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Connecticut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.951509535312653,0.768846154212952,1.23758113384247
1962,10,0.965,0.945,0.98,0.343,0.813,2.368,NA,NA,NA,0.358,0.294,0.823,0.032,0.036,1.116,NA,NA,NA,0.151,0.134,1.132,NA,NA,NA,NA,NA,NA,0.562,0.584,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Delaware",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953685700893402,0.932963073253632,1.02221167087555
1962,11,0.974,0.918,0.943,0.537,0.743,1.383,NA,NA,NA,0.625,0.516,0.826,0.169,0.236,1.402,NA,NA,NA,0.48,0.142,3.376,NA,NA,NA,NA,NA,NA,0.61,0.653,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"District of Columbia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991486430168152,0.889224827289581,1.11500084400177
1962,12,0.937,0.956,1.021,0.345,0.703,2.035,NA,NA,NA,0.46,0.47,1.021,0.059,0.098,1.663,NA,NA,NA,0.239,0.08,3.004,NA,NA,NA,NA,NA,NA,0.491,0.641,0.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95393842458725,0.936898350715637,1.01818776130676
1962,13,0.931,0.96,1.031,0.395,0.746,1.886,NA,NA,NA,0.394,0.381,0.968,0.065,0.082,1.27,NA,NA,NA,0.218,0.058,3.752,NA,NA,NA,NA,NA,NA,0.55,0.601,0.916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Georgia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.965170860290527,0.904811978340149,1.06670880317688
1962,17,0.943,0.942,0.999,0.374,0.788,2.107,NA,NA,NA,0.446,0.43,0.964,0.056,0.085,1.526,NA,NA,NA,0.204,0.09,2.256,NA,NA,NA,NA,NA,NA,0.57,0.552,1.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Illinois",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.953761160373688,0.869138777256012,1.09736347198486
1962,18,0.963,0.968,1.005,0.309,0.778,2.515,NA,NA,NA,0.456,0.464,1.017,0.041,0.076,1.856,NA,NA,NA,0.165,0.222,0.742,NA,NA,NA,NA,NA,NA,0.533,0.621,0.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Indiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.967705309391022,0.93666136264801,1.03314316272736
1962,19,0.957,0.956,0.999,0.388,0.783,2.018,NA,NA,NA,0.494,0.446,0.902,0.062,0.097,1.568,NA,NA,NA,0.205,0.107,1.915,NA,NA,NA,NA,NA,NA,0.575,0.568,1.013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Iowa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.955620348453522,1,0.955620348453522
1962,20,0.98,0.967,0.987,0.388,0.803,2.068,NA,NA,NA,0.557,0.52,0.933,0.063,0.151,2.4,NA,NA,NA,0.257,0.113,2.277,NA,NA,NA,NA,NA,NA,0.587,0.452,1.298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kansas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976119637489319,0.803871095180511,1.21427381038666
